N,q,dF,dg,dr,mLen,encryption_time,decryption_time
503,128,80,70,90,400,12,20
503,128,80,70,90,500,20,11
503,128,80,80,50,100,13,15
503,128,80,80,50,200,21,25
503,128,80,80,50,300,24,13
503,128,80,80,50,400,10,11
503,128,80,80,50,500,12,15
503,128,80,80,60,100,14,17
503,128,80,80,60,200,20,12
503,128,80,80,60,300,12,24
503,128,80,80,60,400,22,13
503,128,80,80,60,500,12,15
503,128,80,80,70,100,21,19
503,128,80,80,70,200,10,10
503,128,80,80,70,300,19,11
503,128,80,80,70,400,20,12
503,128,80,80,70,500,16,17
503,128,80,80,80,100,17,14
503,128,80,80,80,200,23,14
503,128,80,80,80,300,11,11
503,128,80,80,80,400,12,20
503,128,80,80,80,500,12,16
503,128,80,80,90,100,18,11
503,128,80,80,90,200,24,12
503,128,80,80,90,300,27,14
503,128,80,80,90,400,17,17
503,128,80,80,90,500,19,15
503,128,80,90,50,100,13,13
503,128,80,90,50,200,24,21
503,128,80,90,50,300,13,11
503,128,80,90,50,400,14,9
503,128,80,90,50,500,17,14
503,128,80,90,60,100,11,10
503,128,80,90,60,200,15,14
503,128,80,90,60,300,16,18
503,128,80,90,60,400,17,11
503,128,80,90,60,500,15,18
503,128,80,90,70,100,13,12
503,128,80,90,70,200,11,9
503,128,80,90,70,300,10,11
503,128,80,90,70,400,10,11
503,128,80,90,70,500,10,10
503,128,80,90,80,100,10,10
503,128,80,90,80,200,14,11
503,128,80,90,80,300,12,14
503,128,80,90,80,400,10,10
503,128,80,90,80,500,10,10
503,128,80,90,90,100,12,11
503,128,80,90,90,200,13,11
503,128,80,90,90,300,12,11
503,128,80,90,90,400,10,10
503,128,80,90,90,500,8,10
503,128,90,50,50,100,9,10
503,128,90,50,50,200,10,10
503,128,90,50,50,300,10,9
503,128,90,50,50,400,10,11
503,128,90,50,50,500,10,10
503,128,90,50,60,100,9,10
503,128,90,50,60,200,10,11
503,128,90,50,60,300,10,11
503,128,90,50,60,400,10,9
503,128,90,50,60,500,9,10
503,128,90,50,70,100,11,9
503,128,90,50,70,200,21,12
503,128,90,50,70,300,12,14
503,128,90,50,70,400,11,11
503,128,90,50,70,500,17,13
503,128,90,50,80,100,22,21
503,128,90,50,80,200,18,15
503,128,90,50,80,300,10,9
503,128,90,50,80,400,13,18
503,128,90,50,80,500,20,25
503,128,90,50,90,100,22,13
503,128,90,50,90,200,21,18
503,128,90,50,90,300,20,18
503,128,90,50,90,400,19,17
503,128,90,50,90,500,24,22
503,128,90,60,50,100,20,13
503,128,90,60,50,200,15,15
503,128,90,60,50,300,20,10
503,128,90,60,50,400,10,9
503,128,90,60,50,500,16,17
503,128,90,60,60,100,21,13
503,128,90,60,60,200,14,14
503,128,90,60,60,300,14,12
503,128,90,60,60,400,9,10
503,128,90,60,60,500,10,13
503,128,90,60,70,100,13,10
503,128,90,60,70,200,16,18
503,128,90,60,70,300,20,19
503,128,90,60,70,400,25,15
503,128,90,60,70,500,10,9
503,128,90,60,80,100,11,9
503,128,90,60,80,200,10,9
503,128,90,60,80,300,17,21
503,128,90,60,80,400,20,14
503,128,90,60,80,500,10,11
503,128,90,60,90,100,10,10
503,128,90,60,90,200,16,15
503,128,90,60,90,300,13,15
503,128,90,60,90,400,24,14
503,128,90,60,90,500,10,11
503,128,90,70,50,100,10,10
503,128,90,70,50,200,12,12
503,128,90,70,50,300,13,11
503,128,90,70,50,400,12,11
503,128,90,70,50,500,10,10
503,128,90,70,60,100,10,10
503,128,90,70,60,200,10,11
503,128,90,70,60,300,9,9
503,128,90,70,60,400,19,16
503,128,90,70,60,500,20,11
503,128,90,70,70,100,17,13
503,128,90,70,70,200,18,15
503,128,90,70,70,300,18,17
503,128,90,70,70,400,14,10
503,128,90,70,70,500,11,14
503,128,90,70,80,100,21,20
503,128,90,70,80,200,15,15
503,128,90,70,80,300,21,13
503,128,90,70,80,400,20,17
503,128,90,70,80,500,12,13
503,128,90,70,90,100,16,12
503,128,90,70,90,200,20,10
503,128,90,70,90,300,10,10
503,128,90,70,90,400,11,16
503,128,90,70,90,500,20,16
503,128,90,80,50,100,20,16
503,128,90,80,50,200,18,18
503,128,90,80,50,300,11,12
503,128,90,80,50,400,11,12
503,128,90,80,50,500,14,14
503,128,90,80,60,100,11,11
503,128,90,80,60,200,9,9
503,128,90,80,60,300,20,15
503,128,90,80,60,400,11,10
503,128,90,80,60,500,10,8
503,128,90,80,70,100,13,10
503,128,90,80,70,200,17,16
503,128,90,80,70,300,14,12
503,128,90,80,70,400,9,9
503,128,90,80,70,500,10,9
503,128,90,80,80,100,13,15
503,128,90,80,80,200,11,15
503,128,90,80,80,300,9,11
503,128,90,80,80,400,15,13
503,128,90,80,80,500,11,11
503,128,90,80,90,100,12,11
503,128,90,80,90,200,13,10
503,128,90,80,90,300,16,17
503,128,90,80,90,400,13,16
503,128,90,80,90,500,14,10
503,128,90,90,50,100,15,15
503,128,90,90,50,200,22,14
503,128,90,90,50,300,20,16
503,128,90,90,50,400,23,17
503,128,90,90,50,500,16,21
503,128,90,90,60,100,12,12
503,128,90,90,60,200,14,11
503,128,90,90,60,300,16,14
503,128,90,90,60,400,12,18
503,128,90,90,60,500,15,20
503,128,90,90,70,100,18,16
503,128,90,90,70,200,11,10
503,128,90,90,70,300,12,17
503,128,90,90,70,400,17,17
503,128,90,90,70,500,15,12
503,128,90,90,80,100,9,10
503,128,90,90,80,200,18,11
503,128,90,90,80,300,20,13
503,128,90,90,80,400,18,9
503,128,90,90,80,500,16,16
503,128,90,90,90,100,19,17
503,128,90,90,90,200,12,16
503,128,90,90,90,300,13,11
503,128,90,90,90,400,19,19
503,128,90,90,90,500,11,12
503,256,50,50,50,100,9,9
503,256,50,50,50,200,12,11
503,256,50,50,50,300,9,10
503,256,50,50,50,400,19,18
503,256,50,50,50,500,11,10
503,256,50,50,60,100,10,13
503,256,50,50,60,200,17,13
503,256,50,50,60,300,10,9
503,256,50,50,60,400,10,9
503,256,50,50,60,500,16,16
503,256,50,50,70,100,21,13
503,256,50,50,70,200,22,19
503,256,50,50,70,300,17,12
503,256,50,50,70,400,15,19
503,256,50,50,70,500,17,10
503,256,50,50,80,100,12,9
503,256,50,50,80,200,22,13
503,256,50,50,80,300,15,10
503,256,50,50,80,400,15,13
503,256,50,50,80,500,13,13
503,256,50,50,90,100,10,9
503,256,50,50,90,200,18,17
503,256,50,50,90,300,18,21
503,256,50,50,90,400,17,18
503,256,50,50,90,500,20,13
503,256,50,60,50,100,16,12
503,256,50,60,50,200,10,11
503,256,50,60,50,300,11,9
503,256,50,60,50,400,17,18
503,256,50,60,50,500,21,12
503,256,50,60,60,100,13,11
503,256,50,60,60,200,14,13
503,256,50,60,60,300,21,24
503,256,50,60,60,400,18,12
503,256,50,60,60,500,12,12
503,256,50,60,70,100,17,20
503,256,50,60,70,200,16,17
503,256,50,60,70,300,14,13
503,256,50,60,70,400,18,11
503,256,50,60,70,500,17,12
503,256,50,60,80,100,10,10
503,256,50,60,80,200,13,18
503,256,50,60,80,300,13,15
503,256,50,60,80,400,20,10
503,256,50,60,80,500,14,15
503,256,50,60,90,100,15,13
503,256,50,60,90,200,14,17
503,256,50,60,90,300,23,20
503,256,50,60,90,400,16,14
503,256,50,60,90,500,21,21
503,256,50,70,50,100,22,16
503,256,50,70,50,200,15,15
503,256,50,70,50,300,19,16
503,256,50,70,50,400,19,19
503,256,50,70,50,500,16,20
503,256,50,70,60,100,11,13
503,256,50,70,60,200,14,18
503,256,50,70,60,300,17,15
503,256,50,70,60,400,22,18
503,256,50,70,60,500,10,9
503,256,50,70,70,100,14,14
503,256,50,70,70,200,16,11
503,256,50,70,70,300,14,17
503,256,50,70,70,400,15,13
503,256,50,70,70,500,14,14
503,256,50,70,80,100,14,10
503,256,50,70,80,200,11,15
503,256,50,70,80,300,15,11
503,256,50,70,80,400,16,13
503,256,50,70,80,500,17,12
503,256,50,70,90,100,22,15
503,256,50,70,90,200,16,15
503,256,50,70,90,300,16,9
503,256,50,70,90,400,17,10
503,256,50,70,90,500,16,17
503,256,50,80,50,100,13,10
503,256,50,80,50,200,19,17
503,256,50,80,50,300,9,9
503,256,50,80,50,400,12,15
503,256,50,80,50,500,19,11
503,256,50,80,60,100,18,17
503,256,50,80,60,200,23,23
503,256,50,80,60,300,22,18
503,256,50,80,60,400,21,13
503,256,50,80,60,500,14,11
503,256,50,80,70,100,12,11
503,256,50,80,70,200,13,11
503,256,50,80,70,300,28,20
503,256,50,80,70,400,19,12
503,256,50,80,70,500,15,13
503,256,50,80,80,100,17,11
503,256,50,80,80,200,19,14
503,256,50,80,80,300,18,18
503,256,50,80,80,400,13,11
503,256,50,80,80,500,15,13
503,256,50,80,90,100,19,19
503,256,50,80,90,200,19,10
503,256,50,80,90,300,20,19
503,256,50,80,90,400,15,16
503,256,50,80,90,500,20,11
503,256,50,90,50,100,14,13
503,256,50,90,50,200,12,12
503,256,50,90,50,300,18,12
503,256,50,90,50,400,14,19
503,256,50,90,50,500,17,14
503,256,50,90,60,100,12,12
503,256,50,90,60,200,11,11
503,256,50,90,60,300,9,10
503,256,50,90,60,400,10,11
503,256,50,90,60,500,15,16
503,256,50,90,70,100,20,12
503,256,50,90,70,200,12,10
503,256,50,90,70,300,13,17
503,256,50,90,70,400,17,14
503,256,50,90,70,500,13,10
503,256,50,90,80,100,15,11
503,256,50,90,80,200,13,9
503,256,50,90,80,300,12,11
503,256,50,90,80,400,12,13
503,256,50,90,80,500,9,9
503,256,50,90,90,100,11,10
503,256,50,90,90,200,9,9
503,256,50,90,90,300,11,10
503,256,50,90,90,400,10,9
503,256,50,90,90,500,9,10
503,256,60,50,50,100,11,10
503,256,60,50,50,200,9,10
503,256,60,50,50,300,9,11
503,256,60,50,50,400,9,9
503,256,60,50,50,500,10,10
503,256,60,50,60,100,9,10
503,256,60,50,60,200,10,10
503,256,60,50,60,300,9,10
503,256,60,50,60,400,10,9
503,256,60,50,60,500,10,9
503,256,60,50,70,100,10,11
503,256,60,50,70,200,9,9
503,256,60,50,70,300,10,12
503,256,60,50,70,400,10,11
503,256,60,50,70,500,9,9
503,256,60,50,80,100,10,9
503,256,60,50,80,200,9,11
503,256,60,50,80,300,10,10
503,256,60,50,80,400,10,9
503,256,60,50,80,500,9,10
503,256,60,50,90,100,9,9
503,256,60,50,90,200,14,17
503,256,60,50,90,300,19,16
503,256,60,50,90,400,12,10
503,256,60,50,90,500,12,18
503,256,60,60,50,100,16,17
503,256,60,60,50,200,13,14
503,256,60,60,50,300,14,11
503,256,60,60,50,400,15,19
503,256,60,60,50,500,15,12
503,256,60,60,60,100,10,9
503,256,60,60,60,200,15,13
503,256,60,60,60,300,20,16
503,256,60,60,60,400,15,9
503,256,60,60,60,500,9,10
503,256,60,60,70,100,11,9
503,256,60,60,70,200,9,10
503,256,60,60,70,300,22,20
503,256,60,60,70,400,10,10
503,256,60,60,70,500,12,11
503,256,60,60,80,100,10,9
503,256,60,60,80,200,18,13
503,256,60,60,80,300,18,17
503,256,60,60,80,400,21,13
503,256,60,60,80,500,22,16
503,256,60,60,90,100,23,17
503,256,60,60,90,200,20,15
503,256,60,60,90,300,14,13
503,256,60,60,90,400,14,11
503,256,60,60,90,500,18,12
503,256,60,70,50,100,9,9
503,256,60,70,50,200,12,10
503,256,60,70,50,300,11,13
503,256,60,70,50,400,14,13
503,256,60,70,50,500,13,13
503,256,60,70,60,100,18,12
503,256,60,70,60,200,21,21
503,256,60,70,60,300,19,21
503,256,60,70,60,400,20,21
503,256,60,70,60,500,20,23
503,256,60,70,70,100,23,21
503,256,60,70,70,200,21,11
503,256,60,70,70,300,21,16
503,256,60,70,70,400,29,11
503,256,60,70,70,500,23,11
503,256,60,70,80,100,23,23
503,256,60,70,80,200,23,13
503,256,60,70,80,300,19,18
503,256,60,70,80,400,11,12
503,256,60,70,80,500,19,13
503,256,60,70,90,100,13,11
503,256,60,70,90,200,20,12
503,256,60,70,90,300,9,9
503,256,60,70,90,400,17,10
503,256,60,70,90,500,10,11
503,256,60,80,50,100,15,13
503,256,60,80,50,200,10,10
503,256,60,80,50,300,13,18
503,256,60,80,50,400,12,11
503,256,60,80,50,500,22,16
503,256,60,80,60,100,20,20
503,256,60,80,60,200,17,12
503,256,60,80,60,300,22,12
503,256,60,80,60,400,23,15
503,256,60,80,60,500,23,14
503,256,60,80,70,100,18,13
503,256,60,80,70,200,18,11
503,256,60,80,70,300,14,14
503,256,60,80,70,400,11,10
503,256,60,80,70,500,32,24
503,256,60,80,80,100,21,24
503,256,60,80,80,200,13,11
503,256,60,80,80,300,18,20
503,256,60,80,80,400,19,12
503,256,60,80,80,500,10,12
503,256,60,80,90,100,14,15
503,256,60,80,90,200,18,17
503,256,60,80,90,300,10,9
503,256,60,80,90,400,17,17
503,256,60,80,90,500,12,23
503,256,60,90,50,100,15,11
503,256,60,90,50,200,18,11
503,256,60,90,50,300,17,16
503,256,60,90,50,400,14,15
503,256,60,90,50,500,15,16
503,256,60,90,60,100,17,18
503,256,60,90,60,200,13,12
503,256,60,90,60,300,23,19
503,256,60,90,60,400,24,12
503,256,60,90,60,500,15,11
503,256,60,90,70,100,18,12
503,256,60,90,70,200,10,10
503,256,60,90,70,300,12,12
503,256,60,90,70,400,9,10
503,256,60,90,70,500,10,13
503,256,60,90,80,100,20,18
503,256,60,90,80,200,21,13
503,256,60,90,80,300,17,10
503,256,60,90,80,400,10,10
503,256,60,90,80,500,17,10
503,256,60,90,90,100,14,10
503,256,60,90,90,200,16,17
503,256,60,90,90,300,21,12
503,256,60,90,90,400,21,16
503,256,60,90,90,500,20,19
503,256,70,50,50,100,20,13
503,256,70,50,50,200,12,12
503,256,70,50,50,300,20,14
503,256,70,50,50,400,12,13
503,256,70,50,50,500,9,10
503,256,70,50,60,100,9,10
503,256,70,50,60,200,17,25
503,256,70,50,60,300,20,17
503,256,70,50,60,400,16,17
503,256,70,50,60,500,11,11
503,256,70,50,70,100,10,12
503,256,70,50,70,200,17,11
503,256,70,50,70,300,23,17
503,256,70,50,70,400,22,12
503,256,70,50,70,500,18,15
503,256,70,50,80,100,11,10
503,256,70,50,80,200,12,16
503,256,70,50,80,300,12,14
503,256,70,50,80,400,12,13
503,256,70,50,80,500,18,16
503,256,70,50,90,100,17,17
503,256,70,50,90,200,14,13
503,256,70,50,90,300,11,16
503,256,70,50,90,400,18,12
503,256,70,50,90,500,17,21
503,256,70,60,50,100,13,12
503,256,70,60,50,200,20,19
503,256,70,60,50,300,9,8
503,256,70,60,50,400,16,12
503,256,70,60,50,500,13,14
503,256,70,60,60,100,16,12
503,256,70,60,60,200,17,11
503,256,70,60,60,300,14,12
503,256,70,60,60,400,20,19
503,256,70,60,60,500,9,10
503,256,70,60,70,100,10,14
503,256,70,60,70,200,20,11
503,256,70,60,70,300,20,18
503,256,70,60,70,400,16,18
503,256,70,60,70,500,17,24
503,256,70,60,80,100,20,12
503,256,70,60,80,200,11,13
503,256,70,60,80,300,11,12
503,256,70,60,80,400,10,10
503,256,70,60,80,500,14,13
503,256,70,60,90,100,13,12
503,256,70,60,90,200,10,10
503,256,70,60,90,300,22,23
503,256,70,60,90,400,21,20
503,256,70,60,90,500,15,14
503,256,70,70,50,100,15,16
503,256,70,70,50,200,21,14
503,256,70,70,50,300,12,11
503,256,70,70,50,400,13,11
503,256,70,70,50,500,20,15
503,256,70,70,60,100,14,11
503,256,70,70,60,200,13,12
503,256,70,70,60,300,23,12
503,256,70,70,60,400,13,15
503,256,70,70,60,500,9,10
503,256,70,70,70,100,10,9
503,256,70,70,70,200,24,13
503,256,70,70,70,300,14,14
503,256,70,70,70,400,19,13
503,256,70,70,70,500,11,18
503,256,70,70,80,100,10,9
503,256,70,70,80,200,11,10
503,256,70,70,80,300,18,16
503,256,70,70,80,400,14,16
503,256,70,70,80,500,25,17
503,256,70,70,90,100,19,12
503,256,70,70,90,200,22,12
503,256,70,70,90,300,10,10
503,256,70,70,90,400,20,18
503,256,70,70,90,500,21,14
503,256,70,80,50,100,16,14
503,256,70,80,50,200,16,12
503,256,70,80,50,300,13,19
503,256,70,80,50,400,20,11
503,256,70,80,50,500,21,12
503,256,70,80,60,100,17,12
503,256,70,80,60,200,24,13
503,256,70,80,60,300,15,10
503,256,70,80,60,400,21,18
503,256,70,80,60,500,22,20
503,256,70,80,70,100,12,12
503,256,70,80,70,200,21,16
503,256,70,80,70,300,15,13
503,256,70,80,70,400,19,19
503,256,70,80,70,500,20,18
503,256,70,80,80,100,19,11
503,256,70,80,80,200,23,16
503,256,70,80,80,300,13,11
503,256,70,80,80,400,10,10
503,256,70,80,80,500,16,19
503,256,70,80,90,100,17,13
503,256,70,80,90,200,23,13
503,256,70,80,90,300,14,11
503,256,70,80,90,400,21,19
503,256,70,80,90,500,18,15
503,256,70,90,50,100,10,10
503,256,70,90,50,200,13,13
503,256,70,90,50,300,14,17
503,256,70,90,50,400,21,11
503,256,70,90,50,500,16,11
503,256,70,90,60,100,13,15
503,256,70,90,60,200,18,13
503,256,70,90,60,300,18,12
503,256,70,90,60,400,21,11
503,256,70,90,60,500,17,10
503,256,70,90,70,100,16,14
503,256,70,90,70,200,14,15
503,256,70,90,70,300,11,9
503,256,70,90,70,400,26,13
503,256,70,90,70,500,13,13
503,256,70,90,80,100,22,12
503,256,70,90,80,200,26,21
503,256,70,90,80,300,18,21
503,256,70,90,80,400,24,12
503,256,70,90,80,500,17,21
503,256,70,90,90,100,20,17
503,256,70,90,90,200,23,14
503,256,70,90,90,300,23,14
503,256,70,90,90,400,10,10
503,256,70,90,90,500,10,10
503,256,80,50,50,100,10,10
503,256,80,50,50,200,9,9
503,256,80,50,50,300,10,9
503,256,80,50,50,400,10,10
503,256,80,50,50,500,11,10
503,256,80,50,60,100,10,10
503,256,80,50,60,200,10,10
503,256,80,50,60,300,10,11
503,256,80,50,60,400,10,10
503,256,80,50,60,500,9,10
503,256,80,50,70,100,10,10
503,256,80,50,70,200,9,10
503,256,80,50,70,300,10,9
503,256,80,50,70,400,10,11
503,256,80,50,70,500,10,10
503,256,80,50,80,100,11,10
503,256,80,50,80,200,11,10
503,256,80,50,80,300,10,10
503,256,80,50,80,400,10,9
503,256,80,50,80,500,10,9
503,256,80,50,90,100,10,9
503,256,80,50,90,200,11,12
503,256,80,50,90,300,10,10
503,256,80,50,90,400,11,11
503,256,80,50,90,500,9,9
503,256,80,60,50,100,11,13
503,256,80,60,50,200,17,20
503,256,80,60,50,300,19,19
503,256,80,60,50,400,9,10
503,256,80,60,50,500,17,16
503,256,80,60,60,100,15,10
503,256,80,60,60,200,19,18
503,256,80,60,60,300,20,18
503,256,80,60,60,400,22,16
503,256,80,60,60,500,12,11
503,256,80,60,70,100,17,12
503,256,80,60,70,200,13,10
503,256,80,60,70,300,23,19
503,256,80,60,70,400,10,9
503,256,80,60,70,500,10,10
503,256,80,60,80,100,9,9
503,256,80,60,80,200,10,9
503,256,80,60,80,300,10,10
503,256,80,60,80,400,22,12
503,256,80,60,80,500,24,14
503,256,80,60,90,100,19,21
503,256,80,60,90,200,11,15
503,256,80,60,90,300,13,14
503,256,80,60,90,400,30,25
503,256,80,60,90,500,18,16
503,256,80,70,50,100,17,11
503,256,80,70,50,200,10,13
503,256,80,70,50,300,12,11
503,256,80,70,50,400,9,9
503,256,80,70,50,500,9,11
503,256,80,70,60,100,10,9
503,256,80,70,60,200,10,9
503,256,80,70,60,300,14,13
503,256,80,70,60,400,18,19
503,256,80,70,60,500,20,21
503,256,80,70,70,100,18,13
503,256,80,70,70,200,20,13
503,256,80,70,70,300,22,17
503,256,80,70,70,400,15,10
503,256,80,70,70,500,21,18
503,256,80,70,80,100,22,16
503,256,80,70,80,200,17,19
503,256,80,70,80,300,22,20
503,256,80,70,80,400,20,19
503,256,80,70,80,500,15,13
503,256,80,70,90,100,18,13
503,256,80,70,90,200,17,12
503,256,80,70,90,300,17,17
503,256,80,70,90,400,9,12
503,256,80,70,90,500,10,10
503,256,80,80,50,100,10,11
503,256,80,80,50,200,15,11
503,256,80,80,50,300,18,14
503,256,80,80,50,400,11,13
503,256,80,80,50,500,17,17
503,256,80,80,60,100,17,17
503,256,80,80,60,200,9,10
503,256,80,80,60,300,10,9
503,256,80,80,60,400,10,12
503,256,80,80,60,500,17,10
503,256,80,80,70,100,16,19
503,256,80,80,70,200,20,15
503,256,80,80,70,300,20,11
503,256,80,80,70,400,11,13
503,256,80,80,70,500,9,11
503,256,80,80,80,100,9,12
503,256,80,80,80,200,14,15
503,256,80,80,80,300,10,10
503,256,80,80,80,400,19,21
503,256,80,80,80,500,10,9
503,256,80,80,90,100,10,10
503,256,80,80,90,200,13,13
503,256,80,80,90,300,23,25
503,256,80,80,90,400,21,16
503,256,80,80,90,500,10,14
503,256,80,90,50,100,23,16
503,256,80,90,50,200,14,12
503,256,80,90,50,300,21,21
503,256,80,90,50,400,22,17
503,256,80,90,50,500,20,19
503,256,80,90,60,100,18,15
503,256,80,90,60,200,10,14
503,256,80,90,60,300,20,13
503,256,80,90,60,400,19,15
503,256,80,90,60,500,18,11
503,256,80,90,70,100,10,11
503,256,80,90,70,200,18,17
503,256,80,90,70,300,18,12
503,256,80,90,70,400,15,16
503,256,80,90,70,500,11,12
503,256,80,90,80,100,19,15
503,256,80,90,80,200,16,11
503,256,80,90,80,300,18,11
503,256,80,90,80,400,19,19
503,256,80,90,80,500,17,16
503,256,80,90,90,100,20,13
503,256,80,90,90,200,20,14
503,256,80,90,90,300,10,10
503,256,80,90,90,400,22,18
503,256,80,90,90,500,14,16
503,256,90,50,50,100,18,13
503,256,90,50,50,200,19,18
503,256,90,50,50,300,20,17
503,256,90,50,50,400,20,13
503,256,90,50,50,500,18,11
503,256,90,50,60,100,15,15
503,256,90,50,60,200,17,15
503,256,90,50,60,300,15,10
503,256,90,50,60,400,20,12
503,256,90,50,60,500,11,17
503,256,90,50,70,100,20,18
503,256,90,50,70,200,20,13
503,256,90,50,70,300,13,9
503,256,90,50,70,400,23,20
503,256,90,50,70,500,10,10
503,256,90,50,80,100,18,14
503,256,90,50,80,200,23,11
503,256,90,50,80,300,20,18
503,256,90,50,80,400,17,17
503,256,90,50,80,500,19,12
503,256,90,50,90,100,13,15
503,256,90,50,90,200,16,20
503,256,90,50,90,300,13,15
503,256,90,50,90,400,10,13
503,256,90,50,90,500,21,13
503,256,90,60,50,100,23,21
503,256,90,60,50,200,27,24
503,256,90,60,50,300,18,20
503,256,90,60,50,400,21,11
503,256,90,60,50,500,23,12
503,256,90,60,60,100,12,11
503,256,90,60,60,200,20,12
503,256,90,60,60,300,20,13
503,256,90,60,60,400,25,15
503,256,90,60,60,500,25,18
503,256,90,60,70,100,15,15
503,256,90,60,70,200,20,14
503,256,90,60,70,300,20,14
503,256,90,60,70,400,14,11
503,256,90,60,70,500,10,11
503,256,90,60,80,100,13,10
503,256,90,60,80,200,16,14
503,256,90,60,80,300,22,10
503,256,90,60,80,400,21,11
503,256,90,60,80,500,27,21
503,256,90,60,90,100,12,13
503,256,90,60,90,200,19,11
503,256,90,60,90,300,16,11
503,256,90,60,90,400,19,12
503,256,90,60,90,500,22,20
503,256,90,70,50,100,18,12
503,256,90,70,50,200,17,15
503,256,90,70,50,300,19,12
503,256,90,70,50,400,12,10
503,256,90,70,50,500,26,12
503,256,90,70,60,100,17,11
503,256,90,70,60,200,24,15
503,256,90,70,60,300,21,20
503,256,90,70,60,400,24,14
503,256,90,70,60,500,18,17
503,256,90,70,70,100,18,13
503,256,90,70,70,200,20,15
503,256,90,70,70,300,11,11
503,256,90,70,70,400,13,14
503,256,90,70,70,500,18,17
503,256,90,70,80,100,17,16
503,256,90,70,80,200,22,22
503,256,90,70,80,300,17,16
503,256,90,70,80,400,22,16
503,256,90,70,80,500,11,20
503,256,90,70,90,100,15,18
503,256,90,70,90,200,14,13
503,256,90,70,90,300,20,20
503,256,90,70,90,400,16,14
503,256,90,70,90,500,9,13
503,256,90,80,50,100,18,11
503,256,90,80,50,200,14,17
503,256,90,80,50,300,19,16
503,256,90,80,50,400,22,13
503,256,90,80,50,500,23,21
503,256,90,80,60,100,20,20
503,256,90,80,60,200,22,17
503,256,90,80,60,300,11,10
503,256,90,80,60,400,10,10
503,256,90,80,60,500,10,12
503,256,90,80,70,100,9,10
503,256,90,80,70,200,11,16
503,256,90,80,70,300,20,13
503,256,90,80,70,400,22,16
503,256,90,80,70,500,22,21
503,256,90,80,80,100,18,17
503,256,90,80,80,200,17,19
503,256,90,80,80,300,21,12
503,256,90,80,80,400,20,20
503,256,90,80,80,500,10,11
503,256,90,80,90,100,10,13
503,256,90,80,90,200,20,12
503,256,90,80,90,300,22,15
503,256,90,80,90,400,16,17
503,256,90,80,90,500,19,15
503,256,90,90,50,100,10,10
503,256,90,90,50,200,21,15
503,256,90,90,50,300,19,16
503,256,90,90,50,400,10,10
503,256,90,90,50,500,10,9
503,256,90,90,60,100,9,9
503,256,90,90,60,200,9,10
503,256,90,90,60,300,10,11
503,256,90,90,60,400,18,17
503,256,90,90,60,500,10,10
503,256,90,90,70,100,15,15
503,256,90,90,70,200,18,13
503,256,90,90,70,300,22,11
503,256,90,90,70,400,24,18
503,256,90,90,70,500,21,18
503,256,90,90,80,100,21,16
503,256,90,90,80,200,16,11
503,256,90,90,80,300,9,10
503,256,90,90,80,400,20,16
503,256,90,90,80,500,12,14
503,256,90,90,90,100,12,12
503,256,90,90,90,200,12,10
503,256,90,90,90,300,14,12
503,256,90,90,90,400,11,10
503,256,90,90,90,500,10,10
503,512,50,50,50,100,9,10
503,512,50,50,50,200,10,10
